"Breve Descrizione","Gruppo","Sala","Ora Inizio","Ora Fine","Durata","Descrizione completa","Corrispondenza","Creato da","Tipo di prenotazione","Stato dell'approvazione","Docente","E' un esame?","Corso di Studi","Ultima Modifica"
"Programmazione dichiarativa","Aule","NB20","09:00:00 - lunedì 04 gennaio 2016","19:00:00 - lunedì 04 gennaio 2016","10 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Formisano Andrea- Gentilini Raffaella","No","Informatica","14:07:20 - giovedì 05 novembre 2015"
"Modelli e metodi dell'Intelligenza Artificiale - Programmazione funzionale","Aule","Portatile 4","09:00:00 - lunedì 04 gennaio 2016","11:00:00 - lunedì 04 gennaio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Marcugini Stefano","No","Informatica Magistrale I Anno","10:58:36 - lunedì 16 novembre 2015"
"Geometria III","Aule","NB19","11:00:00 - lunedì 04 gennaio 2016","12:00:00 - lunedì 04 gennaio 2016","1 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Guerra Lucio","No","Matematica II Anno","11:17:43 - venerdì 25 settembre 2015"
"Basi di dati e Sistemi Informativi con laboratorio","Aule","Portatile 4","14:00:00 - lunedì 04 gennaio 2016","16:00:00 - lunedì 04 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Gentilini Raffaella","No","Informatica","16:12:47 - martedì 10 novembre 2015"
"Algoritmi avanzati - Algoritmi II modulo","Aule","NB19","09:00:00 - martedì 05 gennaio 2016","13:00:00 - martedì 05 gennaio 2016","4 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Gerace Ivan","No","Matematica","16:53:58 - lunedì 02 novembre 2015"
"Programmazione dichiarativa","Aule","NB20","09:00:00 - martedì 05 gennaio 2016","19:00:00 - martedì 05 gennaio 2016","10 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Formisano Andrea- Gentilini Raffaella","No","Informatica","14:07:20 - giovedì 05 novembre 2015"
"Basi di dati e Sistemi Informativi con laboratorio","Aule","Portatile 4","14:00:00 - martedì 05 gennaio 2016","16:00:00 - martedì 05 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Gentilini Raffaella","No","Informatica","16:12:47 - martedì 10 novembre 2015"
"Modelli e metodi dell'Intelligenza Artificiale - Programmazione funzionale","Aule","Portatile 4","16:00:00 - martedì 05 gennaio 2016","18:00:00 - martedì 05 gennaio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Marcugini Stefano","No","Informatica","14:51:15 - lunedì 05 ottobre 2015"
"Algoritmi II Modulo","Aule","A0","09:00:00 - giovedì 07 gennaio 2016","11:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Gerace Ivan","No","Informatica","09:40:18 - giovedì 05 novembre 2015"
"Architettura degli elaboratori  con Laboratorio - Mod I","Aule","A2","09:00:00 - giovedì 07 gennaio 2016","11:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Carpi Arturo","No","Informatica I Anno","11:34:35 - mercoledì 16 settembre 2015"
"Analisi Matematica I","Aule","A3","09:00:00 - giovedì 07 gennaio 2016","11:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Brandi Primo","No","Matematica I Anno","11:04:50 - mercoledì 16 settembre 2015"
"Analisi Matematica II","Aule","B3","09:00:00 - giovedì 07 gennaio 2016","11:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Cardinali Tiziana","No","Matematica II Anno","14:41:51 - martedì 22 settembre 2015"
"Algoritmi avanzati - Algoritmi I modulo","Aule","I2","09:00:00 - giovedì 07 gennaio 2016","11:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Navarra Alfredo","No","Informatica Magistrale I Anno","08:24:40 - martedì 22 settembre 2015"
"Meccanica Razionale I","Aule","Aula C3","09:00:00 - giovedì 07 gennaio 2016","11:00:00 - giovedì 07 gennaio 2016","2 ore","tutorato Giada Podelvento","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Nucci Maria Clara","No","Matematica III Anno","13:25:56 - venerdì 18 dicembre 2015"
"Diagnostica per immagini","Aule","Aula Gialla","09:00:00 - giovedì 07 gennaio 2016","11:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Campanella Renzo","No","Informatica","18:18:03 - mercoledì 07 ottobre 2015"
"Algoritmi avanzati - Algoritmi II modulo","Aule","NB19","09:00:00 - giovedì 07 gennaio 2016","11:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Gerace Ivan","No","Matematica","16:55:01 - lunedì 02 novembre 2015"
"Programmazione dichiarativa","Aule","NB20","09:00:00 - giovedì 07 gennaio 2016","19:00:00 - giovedì 07 gennaio 2016","10 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Formisano Andrea- Gentilini Raffaella","No","Informatica","14:07:20 - giovedì 05 novembre 2015"
"Seminario Scientifico","Aule","Sala Riunioni","10:00:00 - giovedì 07 gennaio 2016","11:00:00 - giovedì 07 gennaio 2016","1 ore","","Altro","pr520001","Prenotazione","Approvato","Pucci Patrizia","No","Altro","10:53:49 - giovedì 17 dicembre 2015"
"Sistemi operativi con laboratorio","Aule","A0","11:00:00 - giovedì 07 gennaio 2016","13:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Formisano Andrea","No","Informatica II Anno","12:11:17 - mercoledì 16 settembre 2015"
"Programmazione I con laboratorio","Aule","A2","11:00:00 - giovedì 07 gennaio 2016","13:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Santini Francesco","No","Informatica I Anno","09:20:55 - martedì 22 settembre 2015"
"Algebra I","Aule","A3","11:00:00 - giovedì 07 gennaio 2016","13:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Buratti Marco","No","Matematica I Anno","10:58:26 - mercoledì 16 settembre 2015"
"Analisi Matematica VI","Aule","B1","11:00:00 - giovedì 07 gennaio 2016","13:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Vitillaro Enzo","No","Matematica Magistrale II Anno","15:18:41 - martedì 22 settembre 2015"
"Tutorato Analisi Matematica II","Aule","B3","11:00:00 - giovedì 07 gennaio 2016","13:00:00 - giovedì 07 gennaio 2016","2 ore","Tutorato Analisi Matematica II tenuto dalla Dott.ssa Gentili Serena ","CdS interno del Dipartimento","tc590001","Prenotazione","Approvato","Cardinali Tiziana","No","Matematica II Anno","08:25:27 - lunedì 28 dicembre 2015"
"Tutorato Analisi Matematica II","Aule","C2","11:00:00 - giovedì 07 gennaio 2016","13:00:00 - giovedì 07 gennaio 2016","2 ore","Tutorato Analisi Matematica II , tenuto dalla Dott.ssa Serena Gentili - n.35 studenti","CdS interno del Dipartimento","tc590001","Prenotazione","Approvato","Cardinali Tiziana","No","Matematica II Anno","14:04:29 - martedì 15 dicembre 2015"
"Calcolabilità e Complessità Computazionale","Aule","I2","11:00:00 - giovedì 07 gennaio 2016","13:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Carpi Arturo","No","Informatica Magistrale I Anno","07:53:40 - martedì 22 settembre 2015"
"Seminario su MAPLE per il corso di Meccanica Raz. I","Aule","Aula C3","11:00:00 - giovedì 07 gennaio 2016","13:00:00 - giovedì 07 gennaio 2016","2 ore","Ciclo di lezioni per gli studenti di Meccanica Razionale I sull'uso di Maple","Altro","mn550001","Prenotazione","Approvato","Nucci Maria Clara","No","Altro","11:27:25 - giovedì 17 dicembre 2015"
"Simulazione","Aule","Aula Gialla","11:00:00 - giovedì 07 gennaio 2016","13:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Tasso Sergio","No","Informatica","18:18:42 - mercoledì 07 ottobre 2015"
"Geometria I","Aule","A0","14:00:00 - giovedì 07 gennaio 2016","16:00:00 - giovedì 07 gennaio 2016","2 ore","tutorato Stefano Lia","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Vincenti Rita","No","Matematica I Anno","10:39:07 - lunedì 26 ottobre 2015"
"Basi di dati e Sistemi Informativi con laboratorio","Aule","A2","14:00:00 - giovedì 07 gennaio 2016","15:00:00 - giovedì 07 gennaio 2016","1 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Gentilini Raffaella","No","Informatica III Anno","12:07:29 - martedì 03 novembre 2015"
"Metodi Matematici per l'Economia","Aule","B1","14:00:00 - giovedì 07 gennaio 2016","16:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Brandi Primo","No","Matematica III Anno","15:08:28 - martedì 22 settembre 2015"
"Modelli e metodi dell'Intelligenza Artificiale - Programmazione funzionale","Aule","B3","14:00:00 - giovedì 07 gennaio 2016","16:00:00 - giovedì 07 gennaio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Marcugini Stefano","No","Informatica Magistrale I Anno","14:04:10 - giovedì 22 ottobre 2015"
